event_record_id,background_record_id,latitude,longitude,event_date,elevation,slope,aspect,soil_id,landcover_class,rainfall_1d,rainfall_3d,rainfall_7d,rainfall_15d,rainfall_30d,nearest_grid_distance_km,nearest_grid_latitude,nearest_grid_longitude,grid_distance_valid,label,sample_type
,7.0,23.954603671640413,88.5604999590212,2015-08-28,15.269099235534668,0.4469160139560699,285.8340148925781,3709.0,40.0,4.980615139007568,23.81509780883789,25.763250946998596,136.1998706459999,296.12125462293625,7.850807226813604,24.0,88.5,True,0,background
11.0,,25.3179,94.0462,2010-10-09,1009.9530029296876,24.41946601867676,273.8585510253906,4276.0,10.0,28.13821601867676,107.72103118896484,120.40432810783386,162.46578216552734,301.15266489982605,8.853818862948163,25.25,94.0,True,1,landslide_event
,177.0,27.942442366306835,94.21583508488736,2011-07-25,1082.201171875,20.121400833129883,299.4930114746094,11790.0,10.0,11.437921524047852,60.95845890045166,277.3102388381958,548.7442531585693,865.9021932184696,7.237128458778361,28.0,94.25,True,0,background
340.0,,24.5204,92.7264,2016-05-18,37.724727630615234,4.965514183044434,332.6190795898437,3701.0,10.0,182.6837615966797,214.47818565368647,260.3883783817291,277.3929310441017,593.052706323564,3.271692743663124,24.5,92.75,True,1,landslide_event
,34.0,24.40536660020557,93.48959121041788,2013-08-16,1602.304931640625,12.551457405090332,166.8797607421875,4301.0,10.0,2.8281381130218506,104.46429944038393,121.17784738540651,229.37720173597336,319.38906194269657,10.5552491380926,24.5,93.5,True,0,background
,324.0,25.08733237665793,92.40361476318732,2010-09-16,417.4084777832031,27.67924118041992,336.0464782714844,3701.0,10.0,16.24225616455078,39.247002601623535,102.9472781419754,243.92344784736633,471.1423853635788,13.636797320952969,25.0,92.5,True,0,background
137.0,,25.5718,94.1211,2010-08-21,1618.675537109375,5.658908367156982,14.910490036010742,4276.0,50.0,32.590938568115234,60.28028202056885,103.6040735244751,133.09392449259758,313.6135528385639,14.489230152600518,25.5,94.0,True,1,landslide_event
247.0,,23.73504471,92.71060943,2010-09-13,930.1307373046876,23.34025955200196,77.4193344116211,7001.0,50.0,10.891241073608398,40.28853797912598,63.73694133758545,228.87560510635376,402.4348909854889,4.269010781118442,23.75,92.75,True,1,landslide_event
76.0,,27.3721,88.708,2013-06-08,3126.398193359375,42.164588928222656,189.5157165527344,3662.0,50.0,19.11920547485352,92.66992950439452,202.47462691366675,345.29810567200184,432.5423953086138,14.22375182182046,27.25,88.75,True,1,landslide_event
77.0,,26.1984,94.8158,2010-08-19,1878.4278564453125,22.23193359375,326.9003601074219,4276.0,10.0,16.913890838623047,38.646554470062256,133.17068815231323,177.89257776737213,414.2937816977501,8.72435924754095,26.25,94.75,True,1,landslide_event
41.0,,24.004,93.9815,2015-08-01,1439.238037109375,32.67754364013672,106.71857452392578,4276.0,30.0,87.59803771972656,126.09715604782104,144.59679210186005,302.9975036382675,388.00014185905457,1.8991577804786488,24.0,94.0,True,1,landslide_event
297.0,,25.1796,93.0083,2010-10-09,688.9466552734375,3.927459955215454,110.28069305419922,4276.0,50.0,60.06459045410156,91.8743815422058,94.70729398727416,132.67486941814423,255.83079653978348,7.880579148223897,25.25,93.0,True,1,landslide_event
